listing_id,seller_id,category,make,year,condition,hours_used,asking_price,region,list_date,views,bids,inquiries,sold,days_on_market,final_price,age_years,price_band,list_year,list_month,list_qtr,seller_seller_type,seller_tenure_years,seller_total_listings,seller_avg_rating,seller_verified
L000018,S0232,Excavators,Terex,2019,Good,4339.0,55000.0,West Coast,2021-10-29,18,1,1,1,9,53000.0,5.0,$30K–$75K,2021,10,4,contractor,1.3,12,3.95,True
L000019,S0777,Forklifts,Hitachi,2023,Good,6264.0,17900.0,Great Plains,2023-04-12,21,2,2,0,27,,1.0,$10K–$30K,2023,4,2,contractor,5.1,6,3.36,True
L000020,S0038,Excavators,Case Ce,2017,Fair,3391.0,31900.0,Mountain West,2023-01-05,11,2,1,1,65,25500.0,7.0,$30K–$75K,2023,1,1,contractor,4.3,18,4.93,True
L000021,S0059,Aerial Work Platforms,Terex,2003,Good,3820.0,5800.0,Southeast,2021-10-28,13,4,3,1,39,5600.0,21.0,<$10K,2021,10,4,fleet_operator,0.5,12,3.66,True
L000022,S0607,Compactors,Hitachi,2000,Fair,3050.0,4900.0,Midwest,2023-06-09,19,0,0,1,31,4000.0,24.0,<$10K,2023,6,2,fleet_operator,8.2,12,3.25,True
L000023,S0225,Skid Steers,Caterpillar,2007,Good,5915.0,6100.0,Southeast,2022-06-29,19,2,4,0,29,,17.0,<$10K,2022,6,2,dealer,3.2,12,3.89,False
L000024,S0608,Compactors,Jcb,2009,Good,1894.0,6000.0,West Coast,2021-07-11,14,2,0,0,77,,15.0,<$10K,2021,7,3,fleet_operator,4.4,16,4.32,True
L000025,S0479,Forklifts,Hitachi,1998,Good,7508.0,3100.0,Southwest,2023-02-23,14,2,2,1,9,2800.0,26.0,<$10K,2023,2,1,fleet_operator,3.5,14,3.09,True
L000026,S0405,Bulldozers,Hitachi,2019,Poor,2482.0,24400.0,Great Plains,2023-02-14,13,4,1,0,134,,5.0,$10K–$30K,2023,2,1,individual,7.4,22,4.1,False
L000027,S0372,Skid Steers,Liebherr,2013,Fair,5812.0,4400.0,Pacific Northwest,2022-12-07,33,4,4,0,48,,11.0,<$10K,2022,12,4,dealer,5.0,13,5.0,True
L000028,S0342,Aerial Work Platforms,Liebherr,2014,Good,5157.0,7400.0,Great Plains,2023-04-14,22,2,0,0,155,,10.0,<$10K,2023,4,2,dealer,5.7,38,4.17,True
L000029,S0722,Bulldozers,Jcb,2007,Good,8031.0,14200.0,Southeast,2021-05-30,11,1,1,0,64,,17.0,$10K–$30K,2021,5,2,dealer,2.2,7,4.29,True
L000030,S0406,Backhoes,Doosan,2009,Poor,4374.0,3026.5,Mid-Atlantic,2022-03-20,24,3,3,0,51,,15.0,<$10K,2022,3,1,fleet_operator,5.7,8,3.62,False
L000031,S0789,Forklifts,Caterpillar,2016,Excellent,8200.0,10000.0,Southeast,2021-01-31,10,2,0,1,24,10200.0,8.0,<$10K,2021,1,1,individual,6.3,4,3.3,False
L000032,S0733,Cranes,Case Ce,2005,Good,4125.0,25400.0,Southwest,2023-09-14,12,0,1,0,29,,19.0,$10K–$30K,2023,9,3,fleet_operator,1.6,32,4.16,True
L000033,S0274,Bulldozers,John Deere,2020,Good,5331.0,80200.0,Midwest,2023-05-23,11,4,0,1,19,76600.0,4.0,$75K–$150K,2023,5,2,fleet_operator,22.0,31,3.42,True
L000034,S0021,Wheel Loaders,Liebherr,2005,Good,5704.0,12300.0,Southeast,2021-07-21,10,0,1,0,34,,19.0,$10K–$30K,2021,7,3,dealer,0.5,17,3.62,False
L000035,S0638,Excavators,Caterpillar,2007,Good,5732.0,14100.0,Southeast,2021-10-26,15,5,1,0,56,,17.0,$10K–$30K,2021,10,4,dealer,1.1,5,4.3,True
L000036,S0384,Wheel Loaders,Hitachi,2007,Excellent,4047.0,12800.0,Midwest,2022-01-25,30,5,2,1,12,12900.0,17.0,$10K–$30K,2022,1,1,contractor,0.5,11,4.08,True
L000037,S0673,Cranes,Hitachi,2015,Fair,4644.0,44800.0,Southeast,2023-12-19,14,1,0,0,21,,9.0,$30K–$75K,2023,12,4,fleet_operator,2.6,4,2.98,True
L000038,S0025,Motor Graders,Case Ce,2007,Excellent,6660.0,15500.0,Southeast,2022-10-05,18,4,3,0,59,,17.0,$10K–$30K,2022,10,4,contractor,12.6,3,3.57,True
L000039,S0515,Bulldozers,Terex,2004,Fair,5650.0,10700.0,West Coast,2022-11-21,26,3,1,0,50,,20.0,$10K–$30K,2022,11,4,dealer,5.2,8,3.07,False
L000040,S0687,Aerial Work Platforms,Komatsu,2001,Good,5693.0,5800.0,West Coast,2021-09-04,5,1,0,0,94,,23.0,<$10K,2021,9,3,dealer,5.9,6,3.27,True
L000041,S0556,Motor Graders,Jcb,1998,Good,6752.5,17900.0,Southeast,2022-05-31,18,4,1,1,41,16900.0,26.0,$10K–$30K,2022,5,2,dealer,11.5,11,4.14,False
L000042,S0267,Bulldozers,Terex,2008,Excellent,4531.0,17200.0,Southwest,2022-01-29,10,1,0,0,7,,16.0,$10K–$30K,2022,1,1,contractor,0.6,23,4.35,True
L000043,S0091,Excavators,Doosan,2016,Fair,3848.0,26300.0,Northeast,2022-07-01,11,0,0,0,23,,8.0,$10K–$30K,2022,7,3,contractor,9.7,25,4.38,False
L000044,S0292,Excavators,Caterpillar,2002,Good,5666.5,13800.0,Southeast,2023-03-28,22,1,2,0,30,,22.0,$10K–$30K,2023,3,1,individual,4.7,32,5.0,True
L000045,S0386,Skid Steers,Caterpillar,2023,Good,2216.0,28600.0,Pacific Northwest,2021-11-02,16,1,1,0,17,,1.0,$10K–$30K,2021,11,4,dealer,5.8,31,4.13,False
L000046,S0667,Forklifts,Komatsu,2005,Good,7924.0,3800.0,Great Plains,2022-05-08,14,2,1,0,149,,19.0,<$10K,2022,5,2,dealer,2.6,19,3.23,True
L000047,S0732,Skid Steers,Caterpillar,1999,Fair,3828.0,4300.0,Midwest,2022-09-29,7,0,0,1,13,3800.0,25.0,<$10K,2022,9,3,contractor,6.3,4,5.0,True
L000048,S0129,Excavators,Doosan,1999,Excellent,6946.0,15500.0,Northeast,2023-11-09,14,3,2,1,16,15400.0,25.0,$10K–$30K,2023,11,4,fleet_operator,1.5,15,4.56,False
L000049,S0484,Forklifts,Jcb,2021,Excellent,7822.0,21400.0,Northeast,2022-07-11,2,0,0,0,179,,3.0,$10K–$30K,2022,7,3,contractor,2.0,20,4.62,True
L000050,S0110,Wheel Loaders,Liebherr,2011,Good,6884.0,14400.0,Midwest,2021-03-25,12,2,1,0,91,,13.0,$10K–$30K,2021,3,1,dealer,4.5,34,3.44,True
L000051,S0739,Wheel Loaders,Komatsu,2006,Fair,3236.0,10600.0,Mountain West,2021-03-02,24,5,2,1,43,8900.0,18.0,$10K–$30K,2021,3,1,fleet_operator,3.7,6,4.75,True
L000052,S0427,Excavators,Terex,2007,Good,6540.0,12100.0,West Coast,2021-12-03,19,3,0,1,4,11300.0,17.0,$10K–$30K,2021,12,4,individual,1.6,23,4.39,False
L000053,S0233,Excavators,Caterpillar,2010,Fair,5788.0,9900.0,Great Plains,2023-09-07,14,3,0,1,5,8000.0,14.0,<$10K,2023,9,3,fleet_operator,0.6,11,3.72,True
L000054,S0712,Wheel Loaders,Caterpillar,1998,Fair,5319.0,10000.0,Southeast,2022-04-04,18,2,1,0,48,,26.0,<$10K,2022,4,2,fleet_operator,15.6,18,3.96,True
L000055,S0036,Excavators,Komatsu,2011,Fair,5005.0,13400.0,Northeast,2021-01-03,20,1,1,1,15,11700.0,13.0,$10K–$30K,2021,1,1,fleet_operator,12.3,16,4.84,True
L000056,S0565,Aerial Work Platforms,Jcb,1999,Good,4356.0,6200.0,Pacific Northwest,2021-01-14,8,2,1,1,3,5600.0,25.0,<$10K,2021,1,1,contractor,0.7,12,4.16,True
L000057,S0792,Wheel Loaders,Case Ce,2001,Good,6820.0,9100.0,Mountain West,2023-11-19,9,0,1,1,9,8800.0,23.0,<$10K,2023,11,4,fleet_operator,0.7,15,4.64,True
L000058,S0104,Excavators,Caterpillar,2016,Fair,5874.0,32000.0,Midwest,2023-06-09,19,4,2,0,45,,8.0,$30K–$75K,2023,6,2,individual,2.7,14,3.13,True
L000059,S0338,Wheel Loaders,John Deere,1998,Good,7293.0,12100.0,Southeast,2023-03-12,20,2,0,1,6,10700.0,26.0,$10K–$30K,2023,3,1,fleet_operator,3.3,13,4.62,True
L000060,S0189,Forklifts,Case Ce,2001,Good,6975.0,2800.0,Southwest,2023-03-09,20,3,4,1,36,2500.0,23.0,<$10K,2023,3,1,dealer,8.5,22,3.89,True
L000061,S0664,Excavators,Doosan,2008,Good,5379.0,11100.0,Southwest,2021-05-09,6,0,1,0,170,,16.0,$10K–$30K,2021,5,2,dealer,25.0,11,3.38,True
L000062,S0691,Skid Steers,Jcb,2010,Poor,5412.0,2100.0,Northeast,2021-04-23,8,1,0,0,55,,14.0,<$10K,2021,4,2,fleet_operator,2.3,10,3.65,False
L000063,S0752,Aerial Work Platforms,Doosan,2015,Good,3239.0,9000.0,Southeast,2021-08-28,6,1,0,0,30,,9.0,<$10K,2021,8,3,contractor,8.6,15,3.56,True
L000064,S0190,Wheel Loaders,Liebherr,2007,Good,6724.0,15800.0,Southwest,2023-03-04,17,1,2,0,79,,17.0,$10K–$30K,2023,3,1,dealer,8.0,8,2.93,True
L000065,S0055,Bulldozers,Doosan,2002,Fair,5955.0,12800.0,Great Plains,2023-10-29,14,2,0,1,17,11400.0,22.0,$10K–$30K,2023,10,4,individual,1.1,14,4.37,False
L000066,S0113,Excavators,Hitachi,1998,Good,7884.0,13200.0,West Coast,2022-02-18,26,2,2,0,34,,26.0,$10K–$30K,2022,2,1,individual,2.6,19,4.51,True
L000067,S0025,Forklifts,Terex,2011,Poor,7043.5,2000.0,Southwest,2021-06-03,16,1,1,0,28,,13.0,<$10K,2021,6,2,contractor,12.6,3,3.57,True
L000068,S0109,Bulldozers,Case Ce,2013,Good,3212.0,19100.0,Midwest,2021-06-16,12,1,0,1,17,18200.0,11.0,$10K–$30K,2021,6,2,dealer,2.4,19,4.77,False
L000069,S0450,Wheel Loaders,Caterpillar,2021,Fair,4568.0,48200.0,Midwest,2022-01-31,16,1,1,1,76,38900.0,3.0,$30K–$75K,2022,1,1,contractor,8.0,3,3.83,False
L000070,S0152,Wheel Loaders,Jcb,2023,Good,3852.0,60100.0,Mountain West,2022-11-17,5,0,0,0,123,,1.0,$30K–$75K,2022,11,4,dealer,1.0,12,4.78,False
L000071,S0788,Forklifts,Liebherr,2015,Fair,3991.0,6300.0,Southwest,2021-02-22,8,2,0,0,5,,9.0,<$10K,2021,2,1,fleet_operator,2.8,41,3.74,True
L000072,S0673,Bulldozers,Doosan,2000,Fair,5896.0,12400.0,Midwest,2021-04-09,5,1,2,1,1,9900.0,24.0,$10K–$30K,2021,4,2,fleet_operator,2.6,4,2.98,True
L000073,S0500,Excavators,Komatsu,2000,Fair,7124.0,11300.0,Mountain West,2021-05-16,19,4,0,0,80,,24.0,$10K–$30K,2021,5,2,contractor,0.5,34,2.67,True
L000074,S0613,Compactors,Caterpillar,2001,Fair,4478.0,4600.0,Midwest,2023-02-08,28,4,2,0,90,,23.0,<$10K,2023,2,1,dealer,0.5,21,4.51,True
L000075,S0471,Forklifts,Caterpillar,2004,Excellent,9152.0,4700.0,Southeast,2023-12-17,13,0,0,1,2,4700.0,20.0,<$10K,2023,12,4,individual,9.8,26,2.94,True
L000076,S0360,Skid Steers,Komatsu,2010,Poor,3294.0,2100.0,Northeast,2021-04-25,10,1,2,0,47,,14.0,<$10K,2021,4,2,fleet_operator,8.7,15,5.0,False
L000077,S0536,Excavators,Hitachi,2006,Fair,5112.0,10800.0,Midwest,2022-07-26,10,1,0,0,77,,18.0,$10K–$30K,2022,7,3,individual,1.1,23,4.43,True
L000078,S0192,Skid Steers,Jcb,2000,Fair,2856.0,2700.0,Southeast,2021-06-14,22,3,1,1,1,2100.0,24.0,<$10K,2021,6,2,individual,1.6,14,3.92,False
L000079,S0799,Forklifts,Terex,2014,Fair,8814.0,3000.0,Northeast,2022-08-24,10,0,0,0,51,,10.0,<$10K,2022,8,3,individual,11.2,14,4.03,True
L000080,S0767,Excavators,Volvo Ce,2012,Good,7469.0,14100.0,Great Plains,2021-05-30,2,0,0,0,79,,12.0,$10K–$30K,2021,5,2,individual,0.5,21,3.89,True
L000081,S0366,Compactors,Terex,2007,Fair,6235.0,3500.0,West Coast,2022-10-21,13,2,0,0,97,,17.0,<$10K,2022,10,4,individual,8.9,12,4.17,True
L000082,S0162,Bulldozers,John Deere,2012,Excellent,6078.0,18400.0,Southeast,2021-04-22,13,5,0,0,109,,12.0,$10K–$30K,2021,4,2,contractor,1.4,15,3.92,False
L000083,S0271,Backhoes,Liebherr,1998,Fair,3960.0,6100.0,Southwest,2023-07-18,11,3,1,1,82,5500.0,26.0,<$10K,2023,7,3,individual,1.3,16,3.68,True
L000084,S0543,Excavators,Terex,2019,Good,4652.0,44200.0,Midwest,2023-04-16,6,1,0,0,9,,5.0,$30K–$75K,2023,4,2,contractor,6.5,14,3.02,True
L000085,S0238,Forklifts,Caterpillar,2018,Good,4449.0,13300.0,West Coast,2021-12-29,6,1,2,0,73,,6.0,$10K–$30K,2021,12,4,contractor,0.5,12,3.16,True
L000086,S0388,Motor Graders,Volvo Ce,2007,Poor,7175.0,8300.0,Southwest,2023-12-05,9,2,0,0,226,,17.0,<$10K,2023,12,4,contractor,1.8,20,2.23,True
L000087,S0009,Aerial Work Platforms,Hitachi,2004,Poor,3227.0,2600.0,Southeast,2022-02-06,16,1,2,1,15,1600.0,20.0,<$10K,2022,2,1,contractor,0.6,17,2.86,True
L000088,S0327,Motor Graders,Liebherr,2004,Fair,6131.0,13600.0,Southwest,2023-06-27,15,1,1,0,35,,20.0,$10K–$30K,2023,6,2,contractor,2.6,6,4.54,True
L000089,S0590,Aerial Work Platforms,Doosan,2000,Fair,4724.0,3500.0,Mid-Atlantic,2023-04-23,20,4,0,0,20,,24.0,<$10K,2023,4,2,dealer,1.3,6,3.79,True
L000090,S0787,Backhoes,Komatsu,2004,Fair,6697.0,6400.0,Southwest,2021-10-22,12,2,0,1,10,5400.0,20.0,<$10K,2021,10,4,fleet_operator,2.6,11,5.0,True
L000091,S0344,Wheel Loaders,Liebherr,2006,Fair,5136.0,9200.0,Great Plains,2021-04-14,9,1,0,0,46,,18.0,<$10K,2021,4,2,fleet_operator,1.6,38,3.85,True
L000092,S0395,Skid Steers,Jcb,2005,Excellent,6368.0,4200.0,Southwest,2023-01-25,15,3,1,1,15,4000.0,19.0,<$10K,2023,1,1,individual,10.3,14,3.83,True
L000093,S0089,Aerial Work Platforms,Liebherr,2000,Poor,4832.0,3100.0,Mountain West,2022-03-28,12,1,3,0,158,,24.0,<$10K,2022,3,1,fleet_operator,1.4,33,2.92,True
L000094,S0451,Wheel Loaders,Volvo Ce,2023,Fair,3780.5,61800.0,Mountain West,2022-07-28,21,5,0,1,1,49700.0,1.0,$30K–$75K,2022,7,3,contractor,3.3,14,4.07,False
L000095,S0446,Bulldozers,Liebherr,2002,Fair,7314.0,9200.0,Mountain West,2022-07-08,24,2,1,1,64,7700.0,22.0,<$10K,2022,7,3,individual,0.7,8,3.39,True
L000096,S0409,Cranes,Volvo Ce,2010,Poor,5219.0,14900.0,West Coast,2021-02-04,8,0,2,0,42,,14.0,$10K–$30K,2021,2,1,dealer,25.0,10,4.6,True
L000097,S0443,Wheel Loaders,Terex,2010,Good,3970.0,12400.0,Mid-Atlantic,2023-10-12,19,5,2,1,7,11200.0,14.0,$10K–$30K,2023,10,4,fleet_operator,9.3,17,3.63,True
L000098,S0751,Excavators,Caterpillar,2005,Good,3929.0,12800.0,Mid-Atlantic,2023-06-22,34,5,5,1,6,12100.0,19.0,$10K–$30K,2023,6,2,individual,4.6,18,4.25,True
L000099,S0572,Wheel Loaders,Terex,2015,Poor,2858.0,10000.0,Midwest,2023-06-26,7,0,0,1,6,7600.0,9.0,<$10K,2023,6,2,fleet_operator,9.6,22,3.9,True
L000100,S0398,Wheel Loaders,Volvo Ce,2004,Good,5475.0,12800.0,West Coast,2022-07-31,10,1,0,1,49,12200.0,20.0,$10K–$30K,2022,7,3,contractor,6.9,12,4.16,False
L000101,S0004,Bulldozers,John Deere,2007,Fair,5070.0,10500.0,West Coast,2023-03-12,15,2,2,1,12,8900.0,17.0,$10K–$30K,2023,3,1,dealer,2.8,15,3.77,True
L000102,S0671,Excavators,Hitachi,2007,Good,6285.0,14300.0,Midwest,2021-11-29,10,1,1,0,286,,17.0,$10K–$30K,2021,11,4,individual,6.7,10,4.06,True
L000103,S0095,Backhoes,John Deere,2020,Fair,4748.0,20800.0,Midwest,2021-04-30,16,1,2,0,33,,4.0,$10K–$30K,2021,4,2,fleet_operator,1.1,10,3.7,True
L000104,S0789,Compactors,Caterpillar,2008,Fair,4178.0,4300.0,Midwest,2023-07-09,16,0,0,0,29,,16.0,<$10K,2023,7,3,individual,6.3,4,3.3,False
L000105,S0523,Excavators,Doosan,2009,Fair,3572.0,11500.0,Midwest,2021-10-14,14,0,4,0,6,,15.0,$10K–$30K,2021,10,4,individual,1.2,9,4.81,True
L000106,S0343,Forklifts,Terex,2010,Good,8911.0,3200.0,Great Plains,2023-04-06,38,2,3,1,24,3000.0,14.0,<$10K,2023,4,2,fleet_operator,4.2,6,4.36,True
L000107,S0746,Forklifts,Liebherr,2005,Good,6108.0,3900.0,Mountain West,2023-04-24,15,2,1,0,30,,19.0,<$10K,2023,4,2,fleet_operator,8.2,13,3.46,False
L000108,S0620,Aerial Work Platforms,Komatsu,2014,Fair,4636.0,5100.0,Mountain West,2021-09-24,19,3,3,1,3,4000.0,10.0,<$10K,2021,9,3,dealer,1.9,19,3.08,True
L000109,S0488,Excavators,Liebherr,2021,Poor,6429.0,39600.0,Mid-Atlantic,2021-10-08,14,1,2,0,28,,3.0,$30K–$75K,2021,10,4,individual,0.5,20,4.09,True
L000110,S0207,Wheel Loaders,Liebherr,2011,Excellent,4814.0,14000.0,Northeast,2022-12-07,16,1,0,1,38,14000.0,13.0,$10K–$30K,2022,12,4,contractor,9.5,15,3.88,False
L000111,S0527,Backhoes,Liebherr,2014,Excellent,3005.0,11500.0,Great Plains,2021-02-09,5,1,0,1,8,11000.0,10.0,$10K–$30K,2021,2,1,dealer,7.8,27,3.77,True
L000112,S0306,Backhoes,Case Ce,2016,Excellent,3667.0,16200.0,West Coast,2021-07-08,22,2,5,1,27,16500.0,8.0,$10K–$30K,2021,7,3,fleet_operator,2.5,12,2.82,True
L000113,S0726,Compactors,Terex,2013,Poor,7397.0,3300.0,Southwest,2023-10-05,14,1,0,0,31,,11.0,<$10K,2023,10,4,dealer,1.7,15,3.7,True
L000114,S0543,Skid Steers,Volvo Ce,2006,Fair,4930.0,2900.0,Midwest,2023-08-30,17,2,3,0,115,,18.0,<$10K,2023,8,3,contractor,6.5,14,3.02,True
L000115,S0626,Excavators,Komatsu,2017,Poor,4992.0,19500.0,Southwest,2023-02-27,19,6,1,0,176,,7.0,$10K–$30K,2023,2,1,fleet_operator,0.5,21,3.74,True
L000116,S0637,Cranes,Doosan,2007,Good,4252.0,28100.0,Midwest,2021-04-08,17,1,2,0,74,,17.0,$10K–$30K,2021,4,2,dealer,6.1,21,3.33,True
L000117,S0227,Wheel Loaders,Volvo Ce,2006,Good,5299.0,13100.0,Midwest,2021-11-26,21,0,1,0,34,,18.0,$10K–$30K,2021,11,4,fleet_operator,9.3,10,5.0,True
L000118,S0228,Wheel Loaders,Case Ce,1998,Fair,5752.0,10400.0,Midwest,2021-05-17,15,1,1,1,1,9300.0,26.0,$10K–$30K,2021,5,2,individual,1.9,10,3.43,True
L000119,S0386,Skid Steers,Caterpillar,2021,Good,2637.0,24800.0,Mountain West,2022-06-24,10,0,0,1,9,23400.0,3.0,$10K–$30K,2022,6,2,dealer,5.8,31,4.13,False
L000120,S0370,Excavators,Liebherr,2000,Good,7125.0,13400.0,Northeast,2021-02-16,13,0,2,0,81,,24.0,$10K–$30K,2021,2,1,dealer,4.8,14,3.12,True
L000121,S0347,Bulldozers,Komatsu,2008,Good,7237.0,12400.0,Mountain West,2023-03-25,13,1,0,1,7,11800.0,16.0,$10K–$30K,2023,3,1,dealer,5.4,9,4.47,True
L000122,S0556,Backhoes,Caterpillar,2004,Good,3812.0,5600.0,Great Plains,2023-12-10,17,2,0,1,15,5100.0,20.0,<$10K,2023,12,4,dealer,11.5,11,4.14,False
L000123,S0023,Wheel Loaders,Komatsu,2015,Good,6617.0,22600.0,Northeast,2023-12-29,17,2,2,1,16,20500.0,9.0,$10K–$30K,2023,12,4,fleet_operator,2.5,8,3.96,True
L000124,S0012,Aerial Work Platforms,Volvo Ce,2010,Excellent,4268.5,6400.0,Southwest,2022-06-23,23,1,1,1,21,6500.0,14.0,<$10K,2022,6,2,individual,0.7,19,2.9,True
L000125,S0516,Aerial Work Platforms,Jcb,2020,Good,3015.0,25200.0,Great Plains,2021-05-18,22,3,1,0,5,,4.0,$10K–$30K,2021,5,2,fleet_operator,3.7,16,3.28,False
L000126,S0592,Cranes,Doosan,2020,Good,3411.0,154100.0,Northeast,2022-02-04,9,0,0,1,21,136900.0,4.0,>$150K,2022,2,1,dealer,0.9,18,3.69,True
L000127,S0177,Excavators,John Deere,2022,Fair,3271.0,53900.0,Great Plains,2022-02-11,22,1,3,0,115,,2.0,$30K–$75K,2022,2,1,fleet_operator,0.5,12,4.0,True
L000128,S0459,Wheel Loaders,Caterpillar,2015,Good,4603.0,18100.0,Midwest,2022-02-20,11,3,1,0,160,,9.0,$10K–$30K,2022,2,1,dealer,4.4,8,4.22,True
L000129,S0374,Bulldozers,Case Ce,2013,Good,7169.0,14100.0,Northeast,2023-07-19,19,1,0,1,33,13000.0,11.0,$10K–$30K,2023,7,3,dealer,5.0,16,4.54,True
L000130,S0688,Wheel Loaders,Caterpillar,2021,Excellent,3917.0,69000.0,Midwest,2022-04-21,15,0,1,1,1,65700.0,3.0,$30K–$75K,2022,4,2,contractor,2.5,16,3.99,False
L000131,S0401,Wheel Loaders,Case Ce,2013,Good,4455.0,14400.0,West Coast,2021-07-02,16,3,1,0,11,,11.0,$10K–$30K,2021,7,3,individual,0.5,4,3.81,True
L000132,S0288,Aerial Work Platforms,Jcb,2018,Fair,3192.0,15400.0,Northeast,2021-09-29,12,0,1,0,38,,6.0,$10K–$30K,2021,9,3,dealer,23.6,12,3.58,True
L000133,S0185,Excavators,Caterpillar,2007,Fair,6625.0,9700.0,Northeast,2022-10-06,9,1,0,1,1,8200.0,17.0,<$10K,2022,10,4,contractor,3.4,16,4.86,True
L000134,S0502,Compactors,John Deere,2006,Fair,4586.0,3800.0,West Coast,2023-01-03,16,0,1,1,108,3100.0,18.0,<$10K,2023,1,1,fleet_operator,0.5,16,5.0,True
L000135,S0161,Excavators,Hitachi,2005,Good,7267.0,11400.0,Southwest,2021-12-17,17,3,3,0,31,,19.0,$10K–$30K,2021,12,4,contractor,4.6,11,3.92,True
L000136,S0457,Forklifts,Caterpillar,2016,Excellent,6508.5,9600.0,Midwest,2022-02-19,22,1,2,1,21,9400.0,8.0,<$10K,2022,2,1,fleet_operator,3.4,10,4.31,True
L000137,S0030,Backhoes,Volvo Ce,2000,Good,3115.0,6500.0,Mountain West,2022-12-08,11,0,1,0,365,,24.0,<$10K,2022,12,4,contractor,1.3,22,3.89,True
L000138,S0078,Wheel Loaders,Doosan,2023,Poor,3420.0,35700.0,Southwest,2023-04-02,2,1,0,0,1,,1.0,$30K–$75K,2023,4,2,fleet_operator,0.5,8,4.5,True
L000139,S0282,Wheel Loaders,John Deere,2021,Fair,4564.0,39000.0,Pacific Northwest,2021-08-11,21,2,2,0,80,,3.0,$30K–$75K,2021,8,3,fleet_operator,2.7,16,3.81,True
L000140,S0186,Forklifts,Doosan,2006,Excellent,6990.0,3700.0,Southwest,2023-08-15,22,2,8,0,14,,18.0,<$10K,2023,8,3,individual,5.8,12,4.22,False
