listing_id,seller_id,category,make,year,condition,hours_used,asking_price,region,list_date,views,bids,inquiries,sold,days_on_market,final_price
L000019,S0777,Forklifts,Hitachi,2023,Good,,17900,Great Plains,2023-04-12,21,2,2,0,27,
L000020,S0038,Excavators,Case CE,2017,Fair,3391.0,31900,Mountain West,2023-01-05,11,2,1,1,65,25500.0
L000021,S0059,Aerial Work Platforms,Terex,2003,Good,3820.0,5800,Southeast,2021-10-28,13,4,3,1,39,5600.0
L000022,S0607,Compactors,Hitachi,2000,Fair,3050.0,4900,Midwest,2023-06-09,19,0,0,1,31,4000.0
L000023,S0225,Skid Steers,Caterpillar,2007,Good,5915.0,6100,Southeast,2022-06-29,19,2,4,0,29,
L000024,S0608,Compactors,JCB,2009,Good,1894.0,6000,West Coast,2021-07-11,14,2,0,0,77,
L000025,S0479,Forklifts,Hitachi,1998,Good,7508.0,3100,Southwest,2023-02-23,14,2,2,1,9,2800.0
L000026,S0405,Bulldozers,Hitachi,2019,Poor,2482.0,24400,Great Plains,2023-02-14,13,4,1,0,134,
L000027,S0372,Skid Steers,Liebherr,2013,Fair,5812.0,4400,Pacific Northwest,2022-12-07,33,4,4,0,48,
L000028,S0342,Aerial Work Platforms,Liebherr,2014,Good,5157.0,7400,Great Plains,2023-04-14,22,2,0,0,155,
L000029,S0722,Bulldozers,JCB,2007,Good,8031.0,14200,Southeast,2021-05-30,11,1,1,0,64,
L000030,S0406,Backhoes,Doosan,2009,Poor,4374.0,2800,Mid-Atlantic,2022-03-20,24,3,3,0,51,
L000031,S0789,Forklifts,Caterpillar,2016,Excellent,8200.0,10000,Southeast,2021-01-31,10,2,0,1,24,10200.0
L000032,S0733,Cranes,Case CE,2005,Good,4125.0,25400,Southwest,2023-09-14,12,0,1,0,29,
L000033,S0274,Bulldozers,John Deere,2020,Good,5331.0,80200,Midwest,2023-05-23,11,4,0,1,19,76600.0
L000034,S0021,Wheel Loaders,Liebherr,2005,Good,5704.0,12300,Southeast,2021-07-21,10,0,1,0,34,
L000035,S0638,Excavators,Caterpillar,2007,Good,5732.0,14100,Southeast,2021-10-26,15,5,1,0,56,
L000036,S0384,Wheel Loaders,Hitachi,2007,Excellent,4047.0,12800,Midwest,2022-01-25,30,5,2,1,12,12900.0
L000037,S0673,Cranes,Hitachi,2015,Fair,4644.0,44800,Southeast,2023-12-19,14,1,0,0,21,
L000038,S0025,Motor Graders,Case CE,2007,Excellent,6660.0,15500,Southeast,2022-10-05,18,4,3,0,59,
L000039,S0515,Bulldozers,Terex,2004,Fair,5650.0,10700,West Coast,2022-11-21,26,3,1,0,50,
L000040,S0687,Aerial Work Platforms,Komatsu,2001,Good,5693.0,5800,West Coast,2021-09-04,5,1,,0,94,
L000041,S0556,Motor Graders,JCB,1998,Good,,17900,Southeast,2022-05-31,18,4,1,1,41,16900.0
L000042,S0267,Bulldozers,Terex,2008,Excellent,4531.0,17200,Southwest,2022-01-29,10,1,0,0,7,
L000043,S0091,Excavators,Doosan,2016,Fair,3848.0,26300,Northeast,2022-07-01,11,0,0,0,23,
L000044,S0292,Excavators,Caterpillar,2002,Good,,13800,Southeast,2023-03-28,22,1,2,0,30,
L000045,S0386,Skid Steers,Caterpillar,2023,Good,2216.0,28600,Pacific Northwest,2021-11-02,16,1,1,0,17,
L000046,S0667,Forklifts,Komatsu,2005,Good,7924.0,3800,Great Plains,2022-05-08,14,2,1,0,149,
L000047,S0732,Skid Steers,Caterpillar,1999,Fair,3828.0,4300,Midwest,2022-09-29,7,0,0,1,13,3800.0
L000048,S0129,Excavators,Doosan,1999,Excellent,6946.0,15500,Northeast,2023-11-09,14,3,2,1,16,15400.0
L000049,S0484,Forklifts,JCB,2021,Excellent,7822.0,21400,Northeast,2022-07-11,2,0,0,0,179,
L000050,S0110,Wheel Loaders,Liebherr,2011,Good,6884.0,14400,Midwest,2021-03-25,12,2,1,0,91,
L000051,S0739,Wheel Loaders,Komatsu,2006,Fair,3236.0,10600,Mountain West,2021-03-02,24,5,2,1,43,8900.0
L000052,S0427,Excavators,Terex,2007,Good,6540.0,12100,West Coast,2021-12-03,19,3,0,1,4,11300.0
L000053,S0233,Excavators,Caterpillar,2010,Fair,5788.0,9900,Great Plains,2023-09-07,14,3,0,1,5,8000.0
L000054,S0712,Wheel Loaders,Caterpillar,1998,Fair,5319.0,10000,Southeast,2022-04-04,18,2,1,0,48,
L000055,S0036,Excavators,Komatsu,2011,Fair,5005.0,13400,Northeast,2021-01-03,20,1,1,1,15,11700.0
L000056,S0565,Aerial Work Platforms,JCB,1999,Good,4356.0,6200,Pacific Northwest,2021-01-14,8,2,1,1,3,5600.0
L000057,S0792,Wheel Loaders,Case CE,2001,Good,6820.0,9100,Mountain West,2023-11-19,9,0,1,1,9,8800.0
L000058,S0104,Excavators,Caterpillar,2016,Fair,5874.0,32000,Midwest,2023-06-09,19,4,2,0,45,
L000059,S0338,Wheel Loaders,John Deere,1998,Good,7293.0,12100,Southeast,2023-03-12,20,2,0,1,6,10700.0
L000060,S0189,Forklifts,Case CE,2001,Good,6975.0,2800,Southwest,2023-03-09,20,3,4,1,36,2500.0
L000061,S0664,Excavators,Doosan,2008,Good,5379.0,11100,Southwest,2021-05-09,6,0,1,0,170,
L000062,S0691,Skid Steers,JCB,2010,Poor,5412.0,2100,Northeast,2021-04-23,8,1,0,0,55,
L000063,S0752,Aerial Work Platforms,Doosan,2015,Good,3239.0,9000,Southeast,2021-08-28,6,1,0,0,30,
L000064,S0190,Wheel Loaders,Liebherr,2007,Good,6724.0,15800,Southwest,2023-03-04,17,1,2,0,79,
L000065,S0055,Bulldozers,Doosan,2002,Fair,5955.0,12800,Great Plains,2023-10-29,14,2,0,1,17,11400.0
L000066,S0113,Excavators,Hitachi,1998,Good,7884.0,13200,West Coast,2022-02-18,26,2,2,0,34,
L000067,S0025,Forklifts,Terex,2011,Poor,,2000,Southwest,2021-06-03,16,1,1,0,28,
L000068,S0109,Bulldozers,Case CE,2013,Good,3212.0,19100,Midwest,2021-06-16,12,1,0,1,17,18200.0
L000069,S0450,Wheel Loaders,Caterpillar,2021,Fair,4568.0,48200,Midwest,2022-01-31,16,1,1,1,76,38900.0
L000070,S0152,Wheel Loaders,JCB,2023,Good,3852.0,60100,Mountain West,2022-11-17,5,0,0,0,123,
L000071,S0788,Forklifts,Liebherr,2015,Fair,3991.0,6300,Southwest,2021-02-22,8,2,,0,5,
L000072,S0673,Bulldozers,Doosan,2000,Fair,5896.0,12400,Midwest,2021-04-09,5,1,2,1,1,9900.0
L000073,S0500,Excavators,Komatsu,2000,Fair,7124.0,11300,Mountain West,2021-05-16,19,4,0,0,80,
L000074,S0613,Compactors,Caterpillar,2001,Fair,4478.0,4600,Midwest,2023-02-08,28,4,2,0,90,
L000075,S0471,Forklifts,Caterpillar,2004,Excellent,9152.0,4700,Southeast,2023-12-17,13,0,0,1,2,4700.0
L000076,S0360,Skid Steers,Komatsu,2010,Poor,3294.0,2100,Northeast,2021-04-25,10,1,2,0,47,
L000077,S0536,Excavators,Hitachi,2006,Fair,5112.0,10800,Midwest,2022-07-26,10,1,0,0,77,
L000078,S0192,Skid Steers,JCB,2000,Fair,2856.0,2700,Southeast,2021-06-14,22,3,1,1,1,2100.0
L000079,S0799,Forklifts,Terex,2014,Fair,8814.0,3000,Northeast,2022-08-24,10,0,0,0,51,
L000080,S0767,Excavators,Volvo CE,2012,Good,7469.0,14100,Great Plains,2021-05-30,2,0,0,0,79,
L000081,S0366,Compactors,Terex,2007,Fair,6235.0,3500,West Coast,2022-10-21,13,2,0,0,97,
L000082,S0162,Bulldozers,John Deere,2012,Excellent,6078.0,18400,Southeast,2021-04-22,13,5,0,0,109,
L000083,S0271,Backhoes,Liebherr,1998,Fair,3960.0,6100,Southwest,2023-07-18,11,3,1,1,82,5500.0
L000084,S0543,Excavators,Terex,2019,Good,4652.0,44200,Midwest,2023-04-16,6,1,0,0,9,
L000085,S0238,Forklifts,Caterpillar,2018,Good,4449.0,13300,West Coast,2021-12-29,6,1,2,0,73,
L000086,S0388,Motor Graders,Volvo CE,2007,Poor,7175.0,8300,Southwest,2023-12-05,9,2,0,0,226,
L000087,S0009,Aerial Work Platforms,Hitachi,2004,Poor,3227.0,2600,Southeast,2022-02-06,16,1,2,1,15,1600.0
L000088,S0327,Motor Graders,Liebherr,2004,Fair,6131.0,13600,Southwest,2023-06-27,15,1,1,0,35,
L000089,S0590,Aerial Work Platforms,Doosan,2000,Fair,,3500,Mid-Atlantic,2023-04-23,20,4,0,0,20,
L000090,S0787,Backhoes,Komatsu,2004,Fair,6697.0,6400,Southwest,2021-10-22,12,2,0,1,10,5400.0
L000091,S0344,Wheel Loaders,Liebherr,2006,Fair,5136.0,9200,Great Plains,2021-04-14,9,1,0,0,46,
L000092,S0395,Skid Steers,JCB,2005,Excellent,6368.0,4200,Southwest,2023-01-25,15,3,1,1,15,4000.0
L000093,S0089,Aerial Work Platforms,Liebherr,2000,Poor,4832.0,3100,Mountain West,2022-03-28,12,1,3,0,158,
L000094,S0451,Wheel Loaders,Volvo CE,2023,Fair,,61800,Mountain West,2022-07-28,21,5,0,1,1,49700.0
L000095,S0446,Bulldozers,Liebherr,2002,Fair,7314.0,9200,Mountain West,2022-07-08,24,2,1,1,64,7700.0
L000096,S0409,Cranes,Volvo CE,2010,Poor,5219.0,14900,West Coast,2021-02-04,8,0,2,0,42,
L000097,S0443,Wheel Loaders,Terex,2010,Good,3970.0,12400,Mid-Atlantic,2023-10-12,19,5,2,1,7,11200.0
L000098,S0751,Excavators,Caterpillar,2005,Good,3929.0,12800,Mid-Atlantic,2023-06-22,34,5,5,1,6,12100.0
L000099,S0572,Wheel Loaders,Terex,2015,Poor,2858.0,10000,Midwest,2023-06-26,7,0,0,1,6,7600.0
L000100,S0398,Wheel Loaders,Volvo CE,2004,Good,,12800,West Coast,2022-07-31,10,1,0,1,49,12200.0
L000101,S0004,Bulldozers,John Deere,2007,Fair,5070.0,10500,West Coast,2023-03-12,15,2,2,1,12,8900.0
L000102,S0671,Excavators,Hitachi,2007,Good,6285.0,14300,Midwest,2021-11-29,10,1,1,0,286,
L000103,S0095,Backhoes,John Deere,2020,Fair,4748.0,20800,Midwest,2021-04-30,16,1,2,0,33,
L000104,S0789,Compactors,Caterpillar,2008,Fair,4178.0,4300,Midwest,2023-07-09,16,0,0,0,29,
L000105,S0523,Excavators,Doosan,2009,Fair,3572.0,11500,Midwest,2021-10-14,14,0,4,0,6,
L000106,S0343,Forklifts,Terex,2010,Good,8911.0,3200,Great Plains,2023-04-06,38,2,3,1,24,3000.0
L000107,S0746,Forklifts,Liebherr,2005,Good,6108.0,3900,Mountain West,2023-04-24,15,2,1,0,30,
L000108,S0620,Aerial Work Platforms,Komatsu,2014,Fair,4636.0,5100,Mountain West,2021-09-24,19,3,3,1,3,4000.0
L000109,S0488,Excavators,Liebherr,2021,Poor,6429.0,39600,Mid-Atlantic,2021-10-08,14,1,2,0,28,
L000110,S0207,Wheel Loaders,Liebherr,2011,Excellent,4814.0,14000,Northeast,2022-12-07,16,1,0,1,38,14000.0
L000111,S0527,Backhoes,Liebherr,2014,Excellent,3005.0,11500,Great Plains,2021-02-09,5,1,0,1,8,11000.0
L000112,S0306,Backhoes,Case CE,2016,Excellent,3667.0,16200,West Coast,2021-07-08,22,2,5,1,27,16500.0
L000113,S0726,Compactors,Terex,2013,Poor,7397.0,3300,Southwest,2023-10-05,14,1,0,0,31,
L000114,S0543,Skid Steers,Volvo CE,2006,Fair,4930.0,2900,Midwest,2023-08-30,17,2,3,0,115,
L000115,S0626,Excavators,Komatsu,2017,Poor,4992.0,19500,Southwest,2023-02-27,19,6,1,0,176,
L000116,S0637,Cranes,Doosan,2007,Good,4252.0,28100,Midwest,2021-04-08,17,1,2,0,74,
L000117,S0227,Wheel Loaders,,2006,Good,5299.0,13100,Midwest,2021-11-26,21,0,1,0,34,
L000118,S0228,Wheel Loaders,Case CE,1998,Fair,5752.0,10400,Midwest,2021-05-17,15,1,1,1,1,9300.0
L000119,S0386,Skid Steers,Caterpillar,2021,Good,2637.0,24800,Mountain West,2022-06-24,10,0,0,1,9,23400.0
L000120,S0370,Excavators,Liebherr,2000,Good,7125.0,13400,Northeast,2021-02-16,13,0,2,0,81,
L000121,S0347,Bulldozers,Komatsu,2008,Good,7237.0,12400,Mountain West,2023-03-25,13,1,0,1,7,11800.0
L000122,S0556,Backhoes,,2004,Good,3812.0,5600,Great Plains,2023-12-10,17,2,0,1,15,5100.0
L000123,S0023,Wheel Loaders,Komatsu,2015,Good,6617.0,22600,Northeast,2023-12-29,17,2,2,1,16,20500.0
L000124,S0012,Aerial Work Platforms,Volvo CE,2010,Excellent,,6400,Southwest,2022-06-23,23,1,1,1,21,6500.0
L000125,S0516,Aerial Work Platforms,JCB,2020,Good,3015.0,25200,Great Plains,2021-05-18,22,3,1,0,5,
L000126,S0592,Cranes,Doosan,2020,Good,,154100,Northeast,2022-02-04,9,0,0,1,21,136900.0
L000127,S0177,Excavators,John Deere,2022,Fair,3271.0,53900,Great Plains,2022-02-11,22,1,3,0,115,
L000128,S0459,Wheel Loaders,Caterpillar,2015,Good,4603.0,18100,Midwest,2022-02-20,11,3,1,0,160,
L000129,S0374,Bulldozers,Case CE,2013,Good,7169.0,14100,Northeast,2023-07-19,19,1,0,1,33,13000.0
L000130,S0688,Wheel Loaders,Caterpillar,2021,Excellent,3917.0,69000,Midwest,2022-04-21,15,0,1,1,1,65700.0
L000131,S0401,Wheel Loaders,Case CE,2013,Good,,14400,West Coast,2021-07-02,16,3,1,0,11,
L000132,S0288,Aerial Work Platforms,JCB,2018,Fair,3192.0,15400,Northeast,2021-09-29,12,0,1,0,38,
L000133,S0185,Excavators,Caterpillar,2007,Fair,6625.0,9700,Northeast,2022-10-06,9,1,0,1,1,8200.0
L000134,S0502,Compactors,John Deere,2006,Fair,4586.0,3800,West Coast,2023-01-03,16,0,1,1,108,3100.0
L000135,S0161,Excavators,Hitachi,2005,Good,7267.0,11400,Southwest,2021-12-17,17,3,3,0,31,
L000136,S0457,Forklifts,,2016,Excellent,,9600,Midwest,2022-02-19,22,1,2,1,21,9400.0
L000137,S0030,Backhoes,Volvo CE,2000,Good,3115.0,6500,Mountain West,2022-12-08,11,0,1,0,365,
L000138,S0078,Wheel Loaders,Doosan,2023,Poor,3420.0,35700,Southwest,2023-04-02,2,1,0,0,1,
L000139,S0282,Wheel Loaders,John Deere,2021,Fair,4564.0,39000,Pacific Northwest,2021-08-11,21,2,2,0,80,
L000140,S0186,Forklifts,Doosan,2006,Excellent,6990.0,3700,Southwest,2023-08-15,22,2,8,0,14,
L000141,S0538,Compactors,Liebherr,1999,Excellent,3955.0,6400,Northeast,2021-06-12,10,2,0,1,21,6200.0
L000142,S0374,Compactors,Volvo CE,2016,Good,4310.0,14500,West Coast,2023-08-09,15,3,1,0,61,
L000143,S0384,Wheel Loaders,Case CE,2005,Good,7455.0,11700,West Coast,2021-01-22,10,1,1,0,70,
L000144,S0075,Wheel Loaders,John Deere,2015,Fair,5047.0,16100,Midwest,2022-02-24,16,1,2,1,5,12900.0
L000145,S0707,Aerial Work Platforms,Case CE,2005,Good,4752.0,6100,Midwest,2021-12-03,8,0,0,0,44,
L000146,S0406,Backhoes,Case CE,2002,Fair,5371.0,5700,Midwest,2021-07-28,13,3,2,0,9,
L000147,S0765,Bulldozers,Komatsu,2003,Good,6883.0,13900,Southeast,2021-06-10,16,0,0,0,161,
L000148,S0598,Skid Steers,Liebherr,2007,Good,3126.0,4700,Southeast,2021-12-01,10,3,2,1,9,4400.0
L000149,S0122,Bulldozers,,2012,Good,6324.0,13200,West Coast,2021-01-01,3,1,0,1,2,11800.0
L000150,S0467,Bulldozers,Case CE,2001,Fair,6580.0,10700,Northeast,2023-02-17,19,3,,1,35,8400.0
L000151,S0190,Excavators,Doosan,2000,Good,6569.0,13900,Great Plains,2021-08-19,24,2,1,0,34,
L000152,S0254,Bulldozers,Hitachi,2021,Good,5837.0,68100,Midwest,2022-03-25,16,3,1,1,39,60700.0
L000153,S0211,Cranes,JCB,2006,Fair,3187.0,20500,Mountain West,2023-05-15,12,0,0,0,230,
L000154,S0732,Excavators,JCB,2013,Excellent,4803.0,15900,Southeast,2022-05-03,22,1,3,1,49,16000.0
L000155,S0283,Bulldozers,Case CE,2013,Good,5986.0,15100,Mountain West,2023-11-18,9,1,1,1,7,14100.0
L000156,S0279,Skid Steers,Liebherr,2012,Good,4325.0,4600,Mid-Atlantic,2022-10-13,8,1,1,1,19,4400.0
L000157,S0765,Compactors,Hitachi,2021,Fair,1741.0,26100,West Coast,2021-09-29,31,3,4,0,56,
L000158,S0277,Forklifts,Komatsu,2006,Excellent,6685.0,4600,West Coast,2023-08-16,10,0,2,1,17,4700.0
L000159,S0469,Backhoes,John Deere,2014,Fair,4234.0,6300,Pacific Northwest,2023-10-13,13,4,1,0,13,
L000160,S0167,Excavators,John Deere,2018,Excellent,,76100,Southwest,2022-12-08,21,0,4,1,8,77000.0
L000161,S0202,Cranes,Hitachi,2009,Excellent,5274.0,29000,Southeast,2023-02-10,12,2,3,0,76,
L000162,S0095,Skid Steers,Komatsu,2020,Fair,4816.0,18800,West Coast,2021-09-06,16,0,0,0,113,
L000163,S0727,Cranes,Caterpillar,2005,Fair,5723.0,24000,Southeast,2022-01-25,8,0,0,0,29,
L000164,S0779,Motor Graders,Volvo CE,2011,Fair,8591.0,16800,Northeast,2022-03-23,7,0,0,1,37,13600.0
L000165,S0615,Excavators,Case CE,2015,Good,,22000,Northeast,2023-07-06,20,2,3,0,67,
L000166,S0660,Backhoes,John Deere,2009,Good,6196.0,7100,Northeast,2021-06-02,11,0,0,0,94,
L000167,S0383,Bulldozers,John Deere,2011,Fair,3815.0,12700,Southeast,2022-08-31,10,2,1,0,129,
L000168,S0678,Backhoes,Case CE,2017,Good,4691.0,23400,Southeast,2022-09-21,8,0,0,0,16,
L000169,S0108,Forklifts,Liebherr,2020,Excellent,6436.0,19200,Great Plains,2022-06-26,22,1,2,0,36,
L000170,S0337,Forklifts,Terex,2002,Good,7561.0,3600,Northeast,2021-04-11,17,3,0,0,107,
L000171,S0057,Skid Steers,Case CE,1998,Good,4781.0,4000,Midwest,2021-12-12,20,3,2,0,63,
L000172,S0197,Forklifts,Case CE,2010,Good,7040.0,3200,Mountain West,2022-10-24,4,0,1,1,21,3000.0
L000173,S0684,Motor Graders,Komatsu,2011,Poor,6428.0,8600,Mid-Atlantic,2021-04-08,23,6,1,1,61,6300.0
L000174,S0639,Cranes,Hitachi,1999,Fair,5008.0,18200,Southwest,2021-10-16,11,1,3,0,27,
L000175,S0334,Skid Steers,Komatsu,2013,Poor,4742.0,2200,Southeast,2023-03-22,9,0,1,0,40,
L000176,S0496,Motor Graders,Liebherr,2002,Poor,5235.0,9600,West Coast,2022-08-26,8,0,1,0,122,
L000177,S0782,Motor Graders,Caterpillar,2019,Good,5830.0,78800,Great Plains,2023-11-12,11,1,0,0,13,
L000178,S0317,Excavators,Caterpillar,1998,Good,6716.0,12600,Pacific Northwest,2021-03-30,16,0,1,0,16,
L000179,S0165,Backhoes,Terex,2009,Good,4507.0,7400,Mountain West,2021-07-13,6,1,1,1,45,6600.0
L000180,S0575,Excavators,Case CE,2016,Fair,5462.0,29500,Midwest,2023-06-03,10,0,0,0,68,
L000181,S0619,Forklifts,Hitachi,2019,Good,4477.0,15000,Southwest,2022-07-19,13,0,0,1,7,14500.0
L000182,S0380,Bulldozers,Terex,2019,Good,4812.0,64000,Southeast,2022-08-07,8,1,0,0,1,
L000183,S0627,Bulldozers,Doosan,2020,Excellent,4340.0,79000,West Coast,2021-04-19,16,4,2,1,54,75100.0
L000184,S0755,Forklifts,Terex,2007,Good,8311.0,2800,Southeast,2022-04-30,3,2,1,0,39,
L000185,S0343,Excavators,Terex,2009,Good,6050.0,14300,Southwest,2023-07-15,15,3,0,0,134,
L000186,S0710,Forklifts,Doosan,2016,Good,7211.0,9200,Northeast,2022-02-24,18,3,3,0,4,
L000187,S0714,Skid Steers,John Deere,2013,Fair,4511.0,2400,Southwest,2022-05-28,17,4,2,1,17,2000.0
L000188,S0589,Skid Steers,JCB,2014,Excellent,1404.0,5900,Southeast,2021-07-28,15,5,2,1,106,5900.0
L000189,S0403,Excavators,Volvo CE,2010,Poor,5799.0,6100,Midwest,2023-03-27,11,1,0,0,58,
L000190,S0539,Backhoes,Doosan,2004,Excellent,6683.0,6800,West Coast,2023-08-22,12,2,3,1,75,6500.0
L000191,S0229,Forklifts,JCB,2000,Poor,8129.0,2000,West Coast,2023-12-31,14,2,0,1,25,1500.0
L000192,S0505,Backhoes,Terex,2002,Good,5144.0,8200,Northeast,2021-08-10,21,0,2,1,1,7400.0
L000193,S0200,Bulldozers,Doosan,2001,Fair,6349.0,12000,Pacific Northwest,2021-10-18,21,2,3,0,63,
L000194,S0019,Cranes,John Deere,2012,Good,3980.0,27300,Northeast,2023-08-07,10,0,0,0,95,
L000195,S0106,Backhoes,Hitachi,2014,Fair,4453.0,7100,Midwest,2023-10-21,8,3,1,1,5,6000.0
L000196,S0755,Backhoes,John Deere,2009,Fair,4251.0,6500,Northeast,2023-11-18,15,2,2,0,15,
L000197,S0734,Bulldozers,Terex,2020,Excellent,,74000,Great Plains,2021-12-15,10,2,0,1,6,71700.0
L000198,S0468,Wheel Loaders,Caterpillar,2011,Excellent,4754.0,13200,Midwest,2022-01-18,21,2,1,0,104,
L000199,S0021,Motor Graders,JCB,2001,Good,7815.0,18900,West Coast,2021-06-03,8,1,2,1,29,17400.0
L000200,S0204,Motor Graders,Terex,2014,Good,5614.0,19500,Mountain West,2021-01-29,8,1,1,1,10,17700.0
L000201,S0046,Wheel Loaders,John Deere,2008,Excellent,4969.0,10400,Mid-Atlantic,2021-11-27,6,2,1,1,61,10600.0
L000202,S0024,Wheel Loaders,JCB,2003,Fair,6405.0,8800,Southwest,2021-07-08,14,2,1,0,192,
L000203,S0149,Skid Steers,,2001,Good,4976.0,3600,Midwest,2023-10-04,28,3,2,1,4,3200.0
L000204,S0613,Excavators,Komatsu,2010,Fair,5392.0,12000,Northeast,2022-01-09,14,1,2,1,10,10600.0
L000205,S0316,Forklifts,Hitachi,2017,Fair,6268.0,7700,Pacific Northwest,2021-07-29,14,2,2,0,5,
L000206,S0691,Excavators,Case CE,2012,Fair,5417.0,10000,Great Plains,2022-02-01,22,0,2,0,206,
L000207,S0118,Motor Graders,JCB,2015,Excellent,,36500,Midwest,2022-06-19,16,2,1,1,22,35200.0
L000208,S0147,Excavators,Komatsu,2014,Good,4112.0,18500,Midwest,2023-11-30,25,1,2,0,64,
L000209,S0207,Wheel Loaders,Case CE,2016,Good,5006.0,26400,Southwest,2023-05-10,15,3,1,0,55,
L000210,S0019,Skid Steers,Case CE,2007,Good,4914.0,4500,Southeast,2021-12-18,18,2,2,1,9,4200.0
L000211,S0616,Backhoes,Komatsu,2002,Good,6558.0,6400,Mountain West,2022-11-28,15,3,0,0,143,
L000212,S0617,Wheel Loaders,Liebherr,2009,Poor,5490.0,7500,Southeast,2023-10-04,19,3,1,0,1,
L000213,S0357,Bulldozers,Komatsu,2022,Fair,4557.0,68100,Midwest,2023-06-16,15,1,2,0,199,
L000214,S0684,Bulldozers,,2012,Excellent,4153.0,20000,Southeast,2022-04-24,18,1,0,0,15,
L000215,S0036,Backhoes,Caterpillar,2020,Good,3205.0,37700,Midwest,2023-05-23,30,5,2,1,6,36100.0
L000216,S0142,Skid Steers,John Deere,2001,Good,5163.0,3900,Southeast,2022-04-20,18,2,1,0,111,
L000217,S0136,Cranes,Caterpillar,2005,Poor,3873.0,17200,West Coast,2022-05-13,23,1,4,1,4,11400.0
L000218,S0612,Forklifts,Liebherr,2017,Poor,3931.0,4900,Northeast,2021-08-24,18,2,0,0,44,
L000219,S0171,Skid Steers,Volvo CE,2019,Good,4288.0,15600,Midwest,2023-11-22,17,1,1,1,3,14100.0
L000220,S0654,Excavators,Komatsu,2014,Good,5020.0,14800,Midwest,2021-12-29,10,0,0,0,72,
L000221,S0555,Bulldozers,JCB,2003,Good,5983.0,17000,Midwest,2022-10-15,17,1,2,0,78,
L000222,S0631,Backhoes,JCB,2013,Good,3748.0,7800,Mountain West,2023-04-17,10,0,0,0,38,
L000223,S0629,Compactors,Doosan,2023,Good,3319.0,30400,Southeast,2021-03-01,13,1,0,0,81,
L000224,S0395,Cranes,JCB,2002,Fair,,20800,Southeast,2022-11-25,7,1,0,1,2,17000.0
L000225,S0238,Cranes,Caterpillar,2011,Good,3688.0,31500,Northeast,2022-04-14,10,1,0,0,105,
L000226,S0152,Motor Graders,John Deere,1999,Fair,8324.0,13400,Great Plains,2023-07-10,13,7,,0,141,
L000227,S0201,Cranes,,2014,Good,2469.0,35500,Midwest,2021-02-16,11,1,0,1,3,32800.0
L000228,S0760,Forklifts,Komatsu,2003,Fair,5499.0,3100,Southeast,2023-10-07,7,0,1,1,28,2500.0
L000229,S0049,Bulldozers,Caterpillar,2008,Fair,6960.0,14700,Northeast,2023-05-28,4,0,0,0,10,
L000230,S0764,Compactors,Terex,1999,Good,5283.0,6900,West Coast,2023-04-05,20,5,1,0,86,
L000231,S0138,Skid Steers,JCB,2022,Fair,2063.0,19100,Northeast,2021-09-01,18,4,,1,9,16800.0
